Date,Tweet,Sentiment
9/14/2022,"#MarketsWithMC | SBI became the third lender and seventh Indian company to cross the Rs 5-trillion market cap for the first time after its shares rallied over 22% so far this year.

Take a look at other top 10 companies 👇
https://t.co/k2p7GyCuKJ

@rravindia ✍️ | @TheOfficialSBI",Positive
9/14/2022,"SBI touches Rs 5 lakh crore in market cap.

Here are the #Top10 companies! https://t.co/5V5KKC1pbA",Neutral
9/11/2022,"#ICYMI | A staffer of SBI branch in Kerala won hearts on the internet after he chose to come to work dressed as King Mahabali to mark the onset of Onam, the harvest festival.

Watch 📽️
https://t.co/BwRE6qR1re

#Onam #Kerala",Neutral
9/9/2022,"#MCPodcast 🎙️ In this edition of #TheWeekOnDalalStreet, @sant0nair and @_anujsinghal discuss the resilience of the Indian market in the face of gloomy news globally.

Tune in👇
https://t.co/kXJ1BulpiS

#ICICI #ITC #Markets #Nifty #PVR #SBI #Sensex #Stocks #Zomato",Neutral
9/9/2022,"State Bank of India is targeting a loan growth of at least 15% in this financial year, chairman Dinesh Kumar Khara said.

Read on 👇
https://t.co/nuiKDdCzzO

#CreditGrowth #DineshKhara #NCLT #SBI",Negative
9/7/2022,"⏩ Optimism 

 In August, L&amp;T is the only stock left where every analyst is positive. Other names such as #ICICIBank &amp; #SBI that enjoyed similar status have seen some downgrades after a rally in stock that has increased their valuation.",Positive
9/6/2022,"Delhivery shares on SBI MF’s buying list and Dreamfolks looks set for a dream debut. 

Santo &amp; CJ slice through the stock internals

Watch live now 🔴

https://t.co/CsGV9Nsjfj

@sant0nair @Chiranjivi_25 https://t.co/M3aToHRgFc",Positive
9/5/2022,"A staffer of SBI branch in Kerala has been winning hearts on the internet after he chose to come to work dressed as King Mahabali to mark the onset of Onam, the harvest festival.

📹 Watch the video here 👇
https://t.co/BwRE6qR1re

by @AnkitaSengupta_ | #SBI #Onam #Mahabali",Positive
9/4/2022,"India's share in world GDP is now at 3.5 percent, as against 2.6 percent in 2014, and is likely to cross four percent in 2027

Read here 👇

https://t.co/paVyCGt2kg

 ✍️ @RaviPksThakur | #India #IndianEconomy #SBI https://t.co/6hWx3piKXj",Neutral
9/3/2022,"SBICAP Trustee clarified that the typographical error occurred in the target company's name and that the additional pledge has been created in favour of SBICAP Trustee and not Adani Green Energy.

Read on ⏬
https://t.co/QH0zojUbUq

#AdaniGreen #Stocks #SuzlonEnergy #SBI",Negative
9/2/2022,"#RBI is holding consultations with US #fintech FIS and is said to have asked four public sector banks in India to run a pilot Central Bank #DigitalCurrency project ahead of a possible rollout in #FY23. 

Find out more⏬
https://t.co/i1kCtUjJLR

By @PiyushS_07 | #CBDC #SBI",Neutral
9/1/2022,"Chief economist at SBI has revised downward the full-year growth forecast to a low 6.8% from 7.5% earlier for #FY2023, citing ""the way below GDP numbers for the first quarter"".

Read on 👇
https://t.co/uLVCD9is0M

#SBI #GDP",Positive
8/20/2022,"#ICYMI | SBI opened a new branch in Bengaluru dedicated to startups. 

What will this new branch offer? Find out👇
https://t.co/8CreJxFjuQ

by @BhavyaDKumar | #SBI #Bengaluru #Startups  #Funding",Positive
8/18/2022,"Government of Singapore and SBI Mutual Fund on acquired more than 2% equity stake in auto ancillary company Sona BLW Precision Forgings via open market transactions.

Read on ⤵️
https://t.co/hplBHeg8i2

#Stocks #Markets | @govsingapore @SBIMF @sonacomstar",Positive
8/18/2022,"#SantoAndCJ | CJ believes market will love DMart's aggressive growth plans but Santo feels valuations are too rich for comfort. Watch the duo debate what DMart's new plan means for the stock and share their thoughts on SBI Cards, IEX and IndiGo. https://t.co/HiudKfyTwI",Positive
8/16/2022,"#TradeSetup for August 17⚡️#SBI, #Cipla, #BharatGears &amp; more.

Check out this curated list of buzzing #stocks and why they are in the news 📹👇 
https://t.co/Q72Kp7hkYE

#StockMarket #Trading #MarketsWithMC #StocksToWatch https://t.co/TCZi1iS6To",Positive
8/16/2022,"SBI has opened a new branch in Bengaluru dedicated to startups to offer services like funding, investment banking, treasury operations, advisory &amp; other ancillary financial services.

Read more 👇
https://t.co/Z3cf2qG7JF

by @BhavyaDKumar | #SBI #Bengaluru #Startups  #Funding",Positive
8/11/2022,"India’s home loan market, currently valued at about Rs 24 lakh crore, is expected to double in the next five years, SBI said in a report.

Read at ⏬
https://t.co/OLQdRlgCq4

by @PushpitaPikuDey | #SBI #HomeLoans",Negative
8/8/2022,"#MarketsWithMC: SBI share price shed 2% in early trade today after the company announced its June quarter earnings last week.

Here's what brokerages have to say ⏬
https://t.co/G7PLflj4ec

#SBI #Stocks #StocksToWatch #StockMarket",Positive
8/8/2022,"#MarketsWithSantoAndCJ | CJ sees enough positives paytm despite its widening losses. However, Santo, is unimpressed

Watch the duo lock horns over whether it's time to 'Paytm karo' or not

Also know their thoughts on #Nykaa, #SBI &amp; M&amp;M

https://t.co/hELpra7B80 https://t.co/PdgtNHlayI",Neutral
8/7/2022,"#TradeSetup for August 8th⚡️#Airtel, #Marico, #SBI and more!

Watch the video to know why these stocks are buzzing before the #OpeningBell 🔔👇
https://t.co/wyv2je0cvW

#MarketsWithMC #StockMarket #Trading #Stocks https://t.co/W0cfLIbTLC",Positive
8/7/2022,"#ICYMI | Fintech platform BharatPe appointed Nalin Negi, the former finance head of SBI Cards, as its Chief Financial Officer (CFO). 

Read at 👇
https://t.co/POXnohrcIu

#NalinNegi #BharatPe #SBICards #CFO",Neutral
8/7/2022,"#MCPersonalFinance | #SBI Small-cap fund is a high-risk, high-return fund that has delivered commendable returns over the long run.

Find out if this SIP scheme is suitable for you 👇
https://t.co/1Xexc4Cbk8

By @dhuraivel | #Investments #MutualFunds #Stocks @kayezad",Positive
8/6/2022,"SBI chairman Dinesh Kumar Khara said that the state-owned lender was okay with lowering its stake in Yes Bank to 26% by the end of FY2022-23 from 30%.

Read on 👇
https://t.co/2oWMSqDkcn

@PiyushS_07 ✍️ | #SBI #DineshKumarKhara #YesBank  #Banks @TheOfficialSBI @YESBANK",Positive
8/6/2022,"#MCSelects ⚡️ | Our specially curated package of the most interesting articles to help you stay at the top of your game.

Check out the top stories👇
https://t.co/92taU347xt

#Business #FuelPrices #HPCL #IPOAlert #SBI #PSU #Bangladesh https://t.co/2h94NNVzDf",Positive
8/6/2022,"#EarningsWithMC | #StateBankOfIndia missed estimates with a 6.7% fall in first-quarter net profit hit by investment losses which India’s largest lender said it expected to recoup over the course of the year. 

Know more🔻
https://t.co/CVpvFg4ADA

#SBI #Q1Results #Q1FY23 #Earnings",Negative
8/6/2022,"#EarningsWithMC | SBI reported its June quarter net profit at Rs 6,068.1 crore. 

Here are the five takeaways from India's largest lender’s report card for Q1 👇
https://t.co/P8jt6JfN9Z

#Earnings #Q1Results #Q1FY23 @TheOfficialSBI",Neutral
8/6/2022,"#EarningsWithMC | State Bank of India reported a net profit of Rs 6,058 crore for the June quarter, missing street estimates by a wide margin as treasury losses eroded profitability.

Read more 👇
https://t.co/RxHxf0se6D

by Aparna Iyer | #Earnings #SBI #Q1Results @TheOfficialSBI",Positive
8/4/2022,"#TradeSetup for August 5th⚡️#AdaniPorts, #SBI, #GlenmarkLifeSciences And More!

These are the #stocks that will possibly be in the spotlight during trading hours tomorrow. 

Watch the video to know why these stocks are buzzing before the #OpeningBell! https://t.co/VqPcQHB9XW https://t.co/9bndQn6dHr",Positive
8/4/2022,"#EarningsWithMC: SBI is expected to report robust balance sheet growth, improvement in asset quality and healthy core interest income for the June quarter.

Read more:
https://t.co/snO0xjHQrA

#SBI #Earnings #Business #Q1FY23",Positive
8/3/2022,"Fintech platform BharatPe on August 3 appointed Nalin Negi, the former finance head of SBI Cards, as its Chief Financial Officer (CFO). 

Read at 👇
https://t.co/GPJu3PdAzF

#NalinNegi #BharatPe #SBICards #CFO",Neutral
8/2/2022,"#MCPersonalFinance | SBI Small-cap fund is a high-risk, high-return fund that has delivered commendable returns over long run.

@dhuraivel picks out this scheme from #MC30; a curated list of 30 investment-worthy #mutualfund schemes. Know more ⤵️
https://t.co/v9sTDLLift",Positive
8/1/2022,"SBI Life’s June quarter metrics show that it pays to be the largest in the industry segment. #SBILife has made its investors happy by exceeding their expectations on business growth &amp; trumping competition on profitability metrics.

Read👇
https://t.co/SP3ZQG0YKr

✍️@aparnaviyer02",Positive
8/1/2022,"Meet Pratiksh Tondwalkar, a single mother who beat all odds to become an AGM at #SBI after starting out as a sweeper 37 years ago.

@siddhiVnayak gets her story👇
https://t.co/QzzZPhUB7S

#Banking #Inspirational",Positive
8/1/2022,"After being widowed at 20, Tondwalkar visited SBI branch to collect the remaining dues of her husband, when she asked for a job to survive. She worked for two hours in the morning, sweeping branch premises, cleaning washrooms and dusting furniture, earning Rs 60-65 a month. (1/3)",Neutral
8/1/2022,"Meet #PratikshTondwalkar, who beat all odds to become an AGM at #SBI after starting out as a sweeper 37 years ago. 

An inspiring story of a single mother who rose through the ranks with sheer grit and determination, reports @siddhiVnayak

Read more 👇
https://t.co/QzzZPhUB7S",Positive
8/1/2022,"On Markets with #SantoAndCJ at 9AM 🔥

⏩ Watch Santo &amp; CJ debate on the prospects of SBI Card post its impressive show in the first quarter. 

⏩ Also hear out their thoughts on Dr Reddy’s and Nazara Tech.

🔗 https://t.co/pYwVgjYODg

@sant0nair @Chiranjivi_25 https://t.co/fCF0a5Pld2",Positive
7/29/2022,"#MarketsWithMC | SBI Life Insurance Company up 8% after #Q1FY23 earnings.

#Stocks #StockMarket #Markets #Q1Results https://t.co/o1CTJ3WOP5",Neutral
7/28/2022,"SBI Life Insurance Company Ltd’s value of new business (VNB), a key metric of profitability, more than doubled to Rs 880 crore for the June quarter and beat market estimates

Read at 👇
https://t.co/mfiU2PE3O9

#SBILifeInsurance #Q1Result #SBILife",Positive
7/28/2022,"#MarketsWithMC | Check out the top gainers &amp; losers of #Sensex &amp; #Nifty of July 28th now at 👇 

https://t.co/EU939Zpv78

#BajajFinance #HindustanAeronautics #SBI #TataMotors #FilatexIndia",Positive
7/28/2022,"#MarketsWithMC | Closing Bell 🔔 Top Gainers: Bajaj Finance, Bajaj Finserv, Kotak Mahindra Bank, IndusInd Bank and SBI Life Insurance.

👉 Top Losers: Shree Cements, Bharti Airtel, UltraTech Cement, Cipla and Bajaj Auto.

#StockMarkets #Nifty #Sensex #BSE #Nifty",Positive
7/27/2022,"#MarketsWithMC | Closing Bell 🔔  Top Gainers: Sun Pharma, SBI, L&amp;T, Divis Labs and Asian Paints/

👉 Top Losers: Bharti Airtel, Bajaj Auto, Hero MotoCorp, UPL and Kotak Mahindra Bank.

👉BSE Midcap index up 0.9% and smallcap index up 0.38%.

#StockMarkets #Nifty #Markets",Positive
7/25/2022,"Banking Central 🏦India’s biggest private lender HDFC Bank is set to become even bigger—both in terms of assets and market valuation.

What does it mean for its rival? Find out 👇
https://t.co/BC6t4F1I6g

by @Dinesh_Unni | #HDFC #SBI #Banking @HDFC_Bank @TheOfficialSBI",Negative
7/23/2022,"#ICYMI: SBI General Insurance Co Ltd. launched a cyber #Insurance policy to cover you against cyber losses.

Take a look at what it offers ⏬  
https://t.co/v4mBh7l5KK

by @_BhavyaDua | #CyberInsurancePolicy #CyberSafety #MCPersonalFinance | @kayezad",Positive
7/22/2022,"🔹 A graduate of the IIM-Bangalore, Jain started his career at SBI Caps in 1991, deputed to SBI Mutual Funds during a very bullish period in the Indian market.",Positive
7/21/2022,"👉Top Gainers: IndusInd Bank, Bajaj Finance, Tata Consumer Products, UPL and Bajaj Finserv

👉 Top Losers: Dr Reddy's Laboratories, Kotak Mahindra Bank, SBI Life Insurance, Cipla and Tech Mahindra.",Positive
7/19/2022,"#ICYMI: A clutch of top-rated state-run banks, including SBI and Union Bank of India, are likely to issue AT1 bonds soon, reports @siddhiVnayak.

Read at ⏬
https://t.co/tbba8YnqZW

#RBI #AT1Bonds #Banks",Neutral
7/18/2022,"#MCPersonalFinance: SBI General Insurance Co Ltd. has launched a cyber #insurance policy to cover you against cyber losses.

Take a look at what it offers ⏬  
https://t.co/Cm2YJtJc3I

by @_BhavyaDua | #CyberInsurancePolicy #CyberSafety | @kayezad https://t.co/fFUArSi9BJ",Positive
7/18/2022,"#ICYMI | SBI Chairman #DineshKumarKhara, last month, said the bank was “very mindful” of the #HDFC-#HDFCBank merger &amp; was taking necessary steps to beat the competition.

Read the full report 👇
https://t.co/FJayfvfJXV

By @PiyushS_07 | #Loans #SBI #Merger @TheOfficialSBI https://t.co/oPlR0q8yGI",Positive
7/14/2022,"#MarketsWithMC | #ClosingBell 🔔 Top Gainers: ONGC, Sun Pharma, Kotak Mahindra Bank, Dr Reddy’s Labs and Maruti Suzuki.

👉 Top Losers: Hero MotoCorp, Axis Bank, HCL Technologies, Tech Mahindra and SBI.

#Sensex #BSE #NSE #Nifty https://t.co/SsNgA6BR6C",Positive
7/14/2022,"Recently, a clutch of banks, including SBI, HDFC and ICICI Bank, sharply increased interest rates on FCNR(B) deposits. How will this affect bank financials? 🤔

Find out ⏬
https://t.co/5DC6fdX6CI

by @PushpitaPikuDey | #Banks https://t.co/W8h7KVveBg",Negative
7/11/2022,"State Bank of India has raised interest rates on its Foreign Currency Non-Resident (Bank) deposits by 105 basis points for one-year US dollar deposits. 

@siddhiVnayak gets you the details ⏬
https://t.co/9kyMoYh7yO 

#SBI #Banking #ForeignCurrencyNonResidentBank #InterestRate",Negative
7/4/2022,"HDFC Life, SBI Life or ICICI Pru - which life insurance stock should you buy? Watch the video to find out! @RaoKarunya
#Lifeinsurance #HDFCLife #SBILife #ICICIPrudential #stockpicks https://t.co/caLcHEwWtE",Neutral
7/1/2022,"SBI’s gold loan portfolio sees good traction; crosses Rs 1 lakh crore mark 🔥

Read more at ⏬
https://t.co/YArAQQm1eo

#SBI #GoldLoan #Inflation",Positive
6/30/2022,"SBI Card, in partnership with Aditya Birla Finance Ltd announced the launch of ‘Aditya Birla SBI Card’, a ""highly rewarding lifestyle credit card.""

Read in detail 👇
https://t.co/GLUIR4yEp3

#SBICard #AdityaBirla #AdityaBirlaSBICard #CreditCard",Positive
6/29/2022,"#MorningTrade | #MukeshAmbani resigns from the board of #RelianceJio, elder son Akash Ambani takes over. #StockSpotlight: #SBI, #RouteMobile. We answer your queries LIVE with @rajeshpalviya of Axis Securities.  

@RaoKarunya
@mstock_in https://t.co/DOjksabrUn",Positive
6/29/2022,"On #MorningTrade 🔥 #MukeshAmbani resigns from the board of Reliance Jio, and #AkashAmbani takes over. 

#StockSpotlight: SBI, route Mobile. We answer your queries LIVE with @rajeshpalviya of Axis Securities. 

Tune in at 8:30AM 🔗 
https://t.co/qNivMpWcEr

@RaoKarunya @mstock_in https://t.co/nITKtKOI5k",Positive
6/28/2022,"Coming up on Markets with #SantoAndCJ🔥

Shares of #SBI, #EicherMotors, #CampusActivewears are buzzing in trade today.

Watch #Santo &amp; #CJ debate whether the three #stocks are worth buying.  

🔴Live Now, Tune in: https://t.co/YYdy2peCmx 

@mstock_in https://t.co/y1t7KXds3Q",Positive
6/28/2022,"Markets With #SantoAndCJ | #Shares of #SBI, #EicherMotors, #CampusActivewears are buzzing in trade today, watch Santo (@sant0nair) &amp; CJ (@Chiranjivi_25) debate whether the three #stocks are worth buying and their thoughts on #PetronetLNG’s recent rally. https://t.co/rnOE2OHzWy",Positive
6/28/2022,"#VijayMallya is seeking permission to appeal the bankruptcy order, claiming, among other factors, that the ‘Restoration Orders’ must be treated towards the payment of the petition debt.

Read on ⤵️
https://t.co/CYM95f8JFP

@DanishKhan80 ✍️ | #Bankruptcy #SBI",Negative
6/27/2022,"On #SantoAndCJ at 3PM ⚡️

Bajaj Auto has finally announced a buyback plan but @sant0nair &amp; @Chiranjivi_25 argue why the method of buyback could be a disappointment for investors.

Plus they discuss stocks like IRCTC, SBI Cards, &amp; Oil India.

Tune in at 🔗
https://t.co/E5V6hgMzlu",Negative
6/24/2022,"State Bank of India Chairman #DineshKumarKhara on Wednesday said the bank was “very mindful” of the HDFC-HDFC Bank #merger &amp; was taking necessary steps to beat competition.

Read the full report 👇
https://t.co/Jili5HoAWe

By @PiyushS_07 | #HDFCBanks #Loans #SBI @TheOfficialSBI https://t.co/NLQ0LooUYA",Positive
6/15/2022,"@PiyushS_07 💸 Take a look at India's top-paid bankers 👇

https://t.co/ebtqUA5cMg

@PiyushS_07 ✍️ | #Banks #Banking #Salary #SBI #DineshKhara https://t.co/6iV73H8gqO",Neutral
6/15/2022,"SBI chairman Dinesh Khara received a Rs 34 lakh annual package while HDFC‘s Keki Mistry earned Rs 19 crore in FY22. 🏦💸

How much are other top bankers getting paid? 🤔

Find out at 👇
https://t.co/uCT9fgQnDT

by @PiyushS_07 | #SBI #DineshKhara #Banks #Banking #Salary #HDFC",Positive
6/14/2022,"#NewsAlert 🚨

- SBI Hikes 211-day To 3-year Retail Term Deposit Rates By 15-20 bps

- SBI Also Hikes 7-day To 2-year Bulk Term Deposits Rates By 50-75 bps

#SBI #Banks #Banking https://t.co/uHO4Bhflf6",Neutral
6/13/2022,"RBI is much ahead of the curve in containing inflation, which appeared to have peaked, though it may go for an interest rate hike in August &amp; October, said an SBI research report 

Know more ⏬
https://t.co/nwi9RAACK5

#RBI #Inflation #InterestRates #RateHike #RBIPolicy #SBI",Positive
6/13/2022,"SBI chairman Dinesh Khara received a Rs 34 lakh annual package while HDFC‘s Keki Mistry earned Rs 19 crore in FY22. 

Here are the salaries of the top five private bank leaders 👇
https://t.co/ebtqUzO9Kg

by @PiyushS_07 | #SBI #DineshKhara #SBI #HDFC",Positive
6/12/2022,"#MCTopStoryRecap⚡Missed tracking news today? 🤔

Fret not, we’ve got you covered! 😌

Check out the top stories this evening! 

#SBI #StockMarket #Equity #SoniaGandhi #India #China https://t.co/Z0LtpEcAwk",Positive
6/12/2022,"#MarketsWithMC | The market capitalisation of the top-10 most valued companies eroded by over Rs 2.29 lakh crore last week, with LIC taking the biggest hit. 

Read on ⬇️
https://t.co/d0JOTvJ9JC

#Airtel #Companies #HDFCBank #ICICI #Infosys #LIC #StockMarket #Reliance #SBI",Positive
6/11/2022,"#ICYMI | SBI Chairman Dinesh Khara earned Rs 34.42 lakh rupees in annual salary for FY22, 13.4% higher than what his predecessor Rajnish Kumar drew during FY21.

Read on 👇
https://t.co/YX0oMtJjDH

by @PiyushS_07 | #SBI #DineshKhara #RajnishKumar #Bank",Positive
6/9/2022,"Markets With #SantoAndCJ | SGX #Nifty indicates a negative start for #DStreet. #SBI, #MetropolisHealthcare, #CleanScienceTech, #WestlifeDevelopment and #UnitedSpirits on Santo (@sant0nair) &amp; CJ's (@Chiranjivi_25) radar today. Know why. https://t.co/TaEPtgAPab",Negative
6/9/2022,"Coming Up On #SantoAndCJ 🔥

SGX Nifty indicates a negative start for D-Street.

SBI, Metropolis Healthcare, Clean Science Tech, Westlife Development and United Spirits in focus.

Know why, at 9AM 🔗 https://t.co/tMrPe87Wbl

#MarketsWithMC @Chiranjivi_25 @sant0nair @mstock_in https://t.co/2gHlQLu6V5",Positive
6/8/2022,"#YESBank said its Board of Directors, appointed under the @YESBANK Reconstruction Scheme of March 2020, has recommended the formation of a new board, in line with the directions of the Scheme, to shareholders.

Read at 👇
https://t.co/pZ49pkogsb

By @PiyushS_07 | #SBI #AGM",Positive
6/8/2022,"#SBI has indicated its ambition to go big on #unsecuredloans, as it believes its portfolio in the segment is only at 30% of its potential.

Read at 👇
https://t.co/IrmG2j7x6M

@TheOfficialSBI #Nomura #MPC #RBIPolicy",Neutral
6/7/2022,"Alok Kumar Choudhary took charge as the new managing director of State Bank of India, the country's largest state-run lender.

Here's what will be handling 👇
https://t.co/dPRwyadA8w

#SBI #StateBankOfIndia #Banks #Appointment",Positive
6/6/2022,"#MCTopStoryRecap ⚡️ Missed tracking news today?🤔

Fret not, we’ve got you covered! 😌

Check out the top stories this evening! 🔥

#RBI #ElonMusk #SBI #Apple #WWDC22 https://t.co/QWpv1aE1Ma",Positive
6/6/2022,"SBI Chairman Dinesh Khara earned Rs 34.42 lakh rupees in annual salary for the financial year ending 2021-22 (FY22), 13.4% higher than what his predecessor Rajnish Kumar drew during FY21.

Read on 👇
https://t.co/5cknEfPW1V

by @PiyushS_07 | #SBI #DineshKhara #RajnishKumar #Bank",Positive
6/3/2022,"State Bank of India along with 15 other banks has sold over Rs 8,000 crore of Suzlon Energy loans to Rural Electrification Corp and state-owned Indian Renewable Energy Development Agency.

Read more at 👇
https://t.co/0pEgfEyyHN

@TheOfficialSBI #Banks #Loans #SBI",Positive
5/30/2022,"The latest report by SBI's research dept revealed that the states have gained Rs 49,229 cr from VAT revenue on fuel when oil prices were increasing. 

More details at 👇
https://t.co/n40KcwWgaC

@RaviPksThakur ✍️ | #Delhi #Diesel #FuelPrices #GST #Mumbai #Petrol #VAT #OilPrices",Positive
5/30/2022,"States still have fiscal space to reduce fuel prices further, according to the latest Ecowrap report from the #SBI’s Economic Research Department.

Read on ⏬
https://t.co/n40KcxepoK

#Delhi #Diesel #FuelPrices #GST #Mumbai #Petrol #VAT",Positive
5/24/2022,"Coming Up On #SantoAndCJ 🔥

How to ride this EV play and is ICICI Bank a no-brainer buy? 🤔

✴️ Also get their take on Olectra Greentech, SBI Cards, ICICI Bank, M&amp;M and GNFC.

Tune in at 9AM with @sant0nair and @Chiranjivi_25 🔗 https://t.co/lfN3bbvXxT.

#MarketsWithMC #Stocks https://t.co/x4RP3ZchdF",Neutral
5/19/2022,"The @RBI today said that the GoI-backed $1 billion term loan granted to #SriLanka through the #SBI for financing purchase of essential goods can be settled in #rupee terms, outside the purview of the ACU arrangement.

Read more 👇
https://t.co/bNZPbHrfJ4

@TheOfficialSBI #Loan",Positive
5/16/2022,"At the current market price, SBI is trading at 0.7 times of the core book value estimated for FY24, and is attractively priced.  MC Pro believes the stock is poised for a re-rating. Here’s why @RaoKarunya https://t.co/gjSMNPFvD1",Positive
